time_s,x,y,z,reward,collision,success,attack
0.0,500.0,500.0,-1.4960286617279053,0.0,False,True,False
0.12,500.00115966796875,500.00079345703125,-1.4383518695831299,0.0,False,True,False
0.23,500.0127258300781,500.0083312988281,-1.374973177909851,0.0,False,True,False
0.34,500.0466613769531,500.0299377441406,-1.3232617378234863,0.0,False,True,False
0.45,500.10504150390625,500.06689453125,-1.2909276485443115,0.0,False,True,False
0.56,500.18505859375,500.11724853515625,-1.259552001953125,0.0,False,True,False
0.67,500.2875671386719,500.181396484375,-1.2215485572814941,0.0,False,True,False
0.77,500.4046325683594,500.2545166015625,-1.1784639358520508,0.0,False,True,False
0.88,500.5376281738281,500.33721923828125,-1.1304007768630981,0.0,False,True,False
0.99,500.6895751953125,500.431396484375,-1.0775831937789917,0.0,False,True,False
1.1,500.8500671386719,500.53057861328125,-1.0250582695007324,0.0,False,True,False
1.21,501.02728271484375,500.63970947265625,-0.9710450172424316,0.0,False,True,False
1.32,501.20965576171875,500.75115966796875,-0.9189280271530151,0.0,False,True,False
1.43,501.40740966796875,500.8699035644531,-0.8663970232009888,0.0,False,True,False
1.54,501.6147155761719,500.9906921386719,-0.8163153529167175,0.0,False,True,False
1.65,501.8247375488281,501.1075439453125,-0.7712185978889465,0.0,False,True,False
1.76,502.0498962402344,501.2254333496094,-0.7294289469718933,0.0,False,True,False
1.87,502.2837219238281,501.3383483886719,-0.6931044459342957,0.0,False,True,False
1.98,502.52557373046875,501.4443359375,-0.6610775589942932,0.0,False,True,False
2.09,502.760009765625,501.536376953125,-0.633544921875,0.0,False,True,False
2.2,503.0079345703125,501.62274169921875,-0.6073475480079651,0.0,False,True,False
2.31,503.26153564453125,501.69964599609375,-0.5832185745239258,0.0,False,True,False
2.42,503.528076171875,501.7684020996094,-0.5604743361473083,0.0,False,True,False
2.53,503.7911682128906,501.8245849609375,-0.5404790639877319,0.0,False,True,False
2.64,504.0660400390625,501.87109375,-0.522060751914978,0.0,False,True,False
2.74,504.3441467285156,501.9058532714844,-0.5059276819229126,0.0,False,True,False
2.86,504.62481689453125,501.9286804199219,-0.49360182881355286,0.0,False,True,False
2.97,504.9076843261719,501.9377746582031,-0.5001886487007141,0.0,False,True,False
3.08,505.19189453125,501.9361572265625,-0.5006023645401001,0.0,False,True,False
3.19,505.4766845703125,501.9239807128906,-0.49772244691848755,0.0,False,True,False
3.3,505.76202392578125,501.90069580078125,-0.5028506517410278,0.0,False,True,False
3.41,506.0389709472656,501.8705139160156,-0.49384453892707825,0.0,False,True,False
3.52,506.3243103027344,501.83050537109375,-0.49583739042282104,0.0,False,True,False
3.63,506.6101379394531,501.78369140625,-0.49913525581359863,0.0,False,True,False
3.74,506.8965148925781,501.73187255859375,-0.4972957372665405,0.0,False,True,False
3.85,507.1828918457031,501.6766357421875,-0.49083173274993896,0.0,False,True,False
3.96,507.4702453613281,501.6189880371094,-0.49058473110198975,0.0,False,True,False
4.07,507.7582092285156,501.5608825683594,-0.49102815985679626,0.0,False,True,False
4.18,508.04705810546875,501.5034484863281,-0.4918332099914551,0.0,False,True,False
4.29,508.3369140625,501.44854736328125,-0.4933202266693115,0.0,False,True,False
4.4,508.6278076171875,501.3975524902344,-0.4958663284778595,0.0,False,True,False
4.51,508.9024963378906,501.3545837402344,-0.49954429268836975,0.0,False,True,False
4.61,509.1864929199219,501.31591796875,-0.4942333698272705,0.0,False,True,False
4.72,509.47979736328125,501.2846374511719,-0.49301037192344666,0.0,False,True,False
4.83,509.7734375,501.2637634277344,-0.5015446543693542,0.0,False,True,False
4.94,510.0584411621094,501.2527160644531,-0.5012905597686768,0.0,False,True,False
5.05,510.35986328125,501.25250244140625,-0.49530524015426636,0.0,False,True,False
5.16,510.6430969238281,501.26580810546875,-0.5045130252838135,0.0,False,True,False
5.27,510.9337463378906,501.2896728515625,-0.49973705410957336,0.0,False,True,False
5.38,511.21429443359375,501.32415771484375,-0.49819186329841614,0.0,False,True,False
5.49,511.493408203125,501.3696594238281,-0.5029411315917969,0.0,False,True,False
5.6,511.7794189453125,501.4249572753906,-0.49226027727127075,0.0,False,True,False
5.71,512.0637817382812,501.49090576171875,-0.49451735615730286,0.0,False,True,False
5.82,512.3460083007812,501.5654602050781,-0.4993400275707245,0.0,False,True,False
5.93,512.6353759765625,501.64910888671875,-0.49510887265205383,0.0,False,True,False
6.04,512.9072875976562,501.7334899902344,-0.49291735887527466,0.0,False,True,False
6.15,513.1874389648438,501.8246154785156,-0.4931897222995758,0.0,False,True,False
6.26,513.4675903320312,501.9182434082031,-0.4932304322719574,0.0,False,True,False
6.37,513.739501953125,502.0098876953125,-0.4932236969470978,0.0,False,True,False
6.48,514.0198364257812,502.10284423828125,-0.49380871653556824,0.0,False,True,False
6.59,514.2937622070312,502.19000244140625,-0.4957055449485779,0.0,False,True,False
6.69,514.560546875,502.2696838378906,-0.4996078908443451,0.0,False,True,False
6.8,514.8365478515625,502.3456115722656,-0.4955063462257385,0.0,False,True,False
6.91,515.1229248046875,502.412841796875,-0.4988233745098114,0.0,False,True,False
7.02,515.4110107421875,502.466552734375,-0.508512020111084,0.0,False,True,False
7.13,515.698486328125,502.50506591796875,-0.5110481381416321,0.0,False,True,False
7.24,515.984130859375,502.5227355957031,-0.5229031443595886,0.0,False,True,False
